Bidwesh_Original,sylhety,Sylhaty_Romanize,Label,Annotator,Status,,,
মেয়েটা অসুস্থ মেনটাল,ফুড়িটা বেমার পাগল ,furita bemar pagol,0,Jaina,Done,,,
অবশ্য ই বলবো,অবশ্যই কইমু, obosshoi koimu,0,Jaina,Done,,,
ডিসির রুমে যেই বেক্তি ক্যামেরা টা লাগাইছে থাকে গোয়েন্দা বিভাগে চাকরি দেওয়া হোক !!!,ডিসির রুমো যে মানুষে ক্যামেরাটা লাগাইছে তারে গোয়েন্দা বিভাগো চাকরি দেওয়া অউক !!!,DCr roomo j manushe camerata lagaise tare guenda bibhago chakri deoa ouk !!! ,0,Jaina,Done,,,
আইনের বিচার হোক,আইনর বিচার অউক,ainor bichar ouk,0,Jaina,Done,,,
লিখিত বক্তব্য দেওয়ার জন্য বাদ্য করা হচ্ছে।, লিখিত বক্তব্য দেওয়ার লাগি বাদ্য করা অর।,likhito boktobbo deoar lagi baddo kora or.,0,Jaina,Done,,,
হা হা হা মজা পাইলাম, হা হা হা মজা ফাইলাম ,ha ha ha moja failam,0,Jaina,Done,,,
অনেক অনেক সুন্দর সিনেমা আগের সিনেমা গুলো দেখলে অনেক ভালো লাগে এখনকার সিনেমা দেখতে ইচ্ছে করে না,অনেক অনেক সুন্দর সিনেমা আগোর সিনেমা গুলা দেখলে অনেক বালা লাগে এখনকুর সিনেমা দেখতে ইচ্ছা করে না ,"onek onek sundor cinema agor cinema gula dekhle onek bala lage ekhonkur cinema dekhte iccha kore na ",0,Jaina,Done,,,
কাঠাল পাতা প্রয়োজন।,কাঠাল পাতা দরকার।,katol pata dorkar.,0,Jaina,Done,,,
আচ্ছা মমো আর শবনম পারিয়ার নাটক কতজনে দেখে এরা কি একবারের তা চিন্তা করছে,আইচ্ছা মমো আর শবনম পারিয়ার নাটক কতজনে দেখে এরা কিতা একবার ইতা চিন্তা করছে,aiccha momo r shobnom pariar natok kotojone dekhe era kita ita chinta korse,0,Jaina,Done,,,
এই মুভিটা আমার অনেক পছন্দর আমি যে কতো বার দেখলাম বলার মতো না,ই মুভিটা আমার অনেক পছন্দর আমি যে কতো বার দেখছি কওয়ার মতো নায় ,e movieta amar onek posondor ami j koto bar deksi kowar moto nay,0,Jaina,Done,,,
দারুণ,সেরা,sera,0,Jaina,Done,,,
এই করার কি খুব দরকার ছিল আমাদের প্রতিবাদ করা উচিং,এই করার কিতা খুব দরকার আছিল আমরার প্রতিবাদ করা উচিৎ,ei korar kita khub dorkar asil amrar protibad kora uchit,0,Jaina,Done,,,
স্যার আপনি আমাদের মাঝে বেঁচে থাকবেন আরো কোটি বছর।, স্যার আফনে আমরার মাঝে  বাচিয়া থাকবা আরো কোটি বছর।,"sir afne amrar maje bachia takba aro kuti bosor",0,Jaina,Done,,,
আমি আওয়ামী লীগ করি,আমি আওয়ামী লীগ করি ,ami awami league kori,0,Jaina,Done,,,
ভি পি ভাই আপনাহদের কি হাত নেই ওদের বিছার কেউ করতে পারবেনা আপনারাই করতে হবে আপনাদের বিছার,ভি পি ভাই আফনারার কিতা হাত নাই তারার বিছার কেউ করতা ফারতানা আফনারাউ করতে অইব আফনারার বিছার,vp bhai afnarar kita haat nai tarar bisar keu korta fartana afnarau korte oibo afnarar bisar,0,Jaina,Done,,,
ময়মনসিংহ -৪ আসন থেকে দাঁড়াবো ভাবছি স্যার। দোয়া রাখবেন। আমার পাবলিসিটি যদি একটু করে দিতেন শেয়ার করে। আর চেতনার বাণীতে আমার কথাও যদি ঢুকায় দিতে পারেন তাহলে আমার জয় ঠেকায় কে ❤❤ ,ময়মনসিংহ -৪ আসন থাকি উবাইমু ভাবিয়ার স্যার। দোয়া রাখইনযেনো। আমার পাবলিসিটি যদি একটু করিয়া দিতা শেয়ার করিয়া। আর চেতনার বাণীতে আমারে কুনোখানো যদি ঢুকাইয়া দিতা ফারইন তে আমার জয় আকটায় কে ❤❤,moymonshinho-4 ashon thaki ubaimu bhabiar sir. dua rakhoinjeno. amar publicity jodi ektu koria dita share koria. er chetonar banite amare kunokhano jodi dhukaia dita faroin te amar joy aktay k ❤❤  ,0,Jaina,Done,,,
অসাধারণ সুন্দর ফোন নম্বর দেয়া,অসাধারণ সুন্দর ফোন নম্বর দেওয়া,oshadaron sundor phone nombor deoa,0,Jaina,Done,,,
জাহাঙ্গীরনগর বিশ্ববিদ্যালয় হাঁটতে শুরু করেছে। এক মাস দুই মাস তিন মাস ছয় মাস করে বহিষ্কার। জরিমানা । একজন দুইজন নয়। ডজন ডজন । এরা কারা?,জাহাঙ্গীরনগর বিশ্ববিদ্যালয় হাঁটা শুরু করছে। এক মাস দুই মাস তিন মাস ছয় মাস করিয়া বহিষ্কার। জরিমানা । একজন দুইজন নায়। ডজন ডজন । এরা কারা?,jahangirnogor bisshobiddaloy hata shuru korse. ek mash dui mash tin mash soy mash koria bohishkar. jorimana. ekjon duijon nay. dojon dojon. era kara?,0,Jaina,Done,,,
এইসভ ভলিয়া লাভ নাই ডীসটেনির টাকা কোথায় গেলো আসলকথা কে ভালো কে কারাপ ভলিয়া লাভকি আওয়ামেলিগ ই থাকবে সভ সময় সরকার, ইতা কইয়া লাভ নাই ডীসটেনির টেকা কই গেলো আসলকথা কে বালা কে বাদ কইয়া লাভকিতা আওয়ামেলিগ ই থাকবো সব সময় সরকার,ita koia lav nai distenir teka koi gelo asholkota k bala k bad koia lavkita awamileague e takbo shob shomoy shorkar,0,Jaina,Done,,,
সালার সারা জীবন কাটায় দিলাম লাখ টাকার জন্য� আর এক ঘড়ির দাম লাখ টাকা �,হালার সারা জীবন কাটাই দিলাম লাখ টেকার লাগি� আর এক ঘড়ির দাম লাখ টেকা �,"halar sharajibon katai dilam lakh tekar lagi� ar ek ghorir dam lakh teka �",0,Jaina,Done,,,
জান্নাত নাটকের ফ্যান কারা লাইক দিয়ে সাড়া দিন, জান্নাত নাটকর ফ্যান কারা লাইক দিয়া সাড়া দেওক্কা,jannat natokor fan kara like dia shara deokka,0,Jaina,Done,,,
কতো বড় মিথ্যা বাদি কথায় কথায় দরা খায় তার পরো খমতার কারনে বরাই করে,কতো বড় মিছা মাতরা কথায় কথায় দরা খায় তার পরেও খমতার কারনে বরাই করে, koto boro misa matra kotay kotay dora kay tar poreo khomotar karone borai kore,0,Jaina,Done,,,
বেচারা ক্যামেরায় ধরা খেয়ে ফেসে গেছেন মাইনকার চিপায় !!!,বেচারা ক্যামেরাত  ধরা খাইয়া ফাসি গেছইন মাইনকার চিপাত !!!, bechara camerat dhora khaia fashi gesoin mainkar chipat!!!,0,Jaina,Done,,,
যারা এত ভালোবেসে এত দামী ঘড়ি দেয় তারা কেন এ এর খরচটা দিল না? তা হলে তো গরীব প্রবাসীদের পাঠানো টাকা কিছুটা বেঁচে যেত যা দিয়ে এতিম ছেলেদের ঘড়ি কিনে দেয়া যেত ।, যেরা অতো বালাফাইয়া অতো দামী ঘড়ি দেয় তারা কেনে ইকটার খরচটা দিল না? তে তো গরীব বিদেশি হকলর ফাটানি টেকা তুরা বাছলো অনে  জেগুন দিয়া এতিম ফুয়াইন্তরে ঘড়ি কিনিয়া দেওয়া গেলো অনে ।,"jera oto bala faia oto dami ghori de tara kne iktar khorochta dilo na? te to gorib bideshi hoklor fatani teka tura baslo oney jegun dia etim fuaintore ghori kinia dewa gelo one.
",0,Jaina,Done,,,
ছি ছি ছি,ছি ছি ছি,chi chi chi,0,Jaina,Done,,,
সাকিব ছাড়া বাংলাদেশ মৃত সাকিব কে খমা করে দেওয়া উচিত সাকিব কে ফাসিয়েছে বাংলাদেশ বোড সাকিবের জন্য আমি বাংলাদেশ টিমকে সাফোট, সাকিব ছাড়া বাংলাদেশ মরা সাকিব রে মাফ করিয়া দেওয়া উচিত সাকিব রে ফাসাইছে বাংলাদেশ বোর্ড সাকিবর লাগি আমি বাংলাদেশ টিমরে সাফোট,sakib chara bangladesh mora sakibre maf koria deoa uchit sakibre fashaise bangladesh board sakibor lagi ami bangladesh teamre suppot,0,Jaina,Done,,,
আমি বাংলাদেশী একজন যদিও এখন প্রবাসে মূল কথা কে নিয়ে এত আলোচ্য বিষয় এর কিছু নেই সে নিজেই জানেনা তাকে কেমন দেখতে জয় ভাই আপনার অনুষ্টান আমি দেখে যা মনে হল কে থেকে বাতিল করাই শ্রেয়,আমি বাংলাদেশী একজন যদিও এখন বিদেশ মূল কথা কে লইয়া অতো মাতর বিষয় ওর কুন্তা নাই হে নিজেউ জানেনা তারে কিলা দেখতে জয় ভাই আফনার অনুষ্টান আমি দেখিয়া যেতা মনো অইল কে তাকি বাদ দেওয়াউ বালা,"ami bangladeshi ekjon jodio ekhon bidesh mul kota ke loia oto mator bishoy or kunta nai he nijeu janena tare kila dekte joy bhai afnar onushtan dekia jeta mono oilo ke taki bad deoau bala",0,Jaina,Done,,,
আমি তোমার সাথে কথা বোলতে চাই তোমার নামবার পাঠাও,আমি তোমার লগে মাততাম চাই তোমার নামবার ফাটাও ,ami tumar loge mattam chai tumar nambar fatao,0,Jaina,Done,,,
সাব্বির সত্যিই বড় একটা বেয়াদব,সাব্বির হাছাউ বড় একটা বেয়াদব, sabbir hasau boro ekta beyadob,0,Jaina,Done,,,
ঠিক আছে।আব্বাসি সবাইকে কাফের বলে এখন ওনি নিজে তো অপমান খেলো সালা সবাইকে কাফের বলে, ঠিক আছে।আব্বাসি সবরে কাফির কয় এখন তাইন নিজেউ তো বেইজ্জতি খাইছন হালা সবরে কাফির কয়,tik ase.abbasi shobre kafir koy ekhon tain nijeu to beijjoti khaison hala shobre kafir koy,0,Jaina,Done,,,
আপুকে চাই না শাকিবে সাথে অপু একটা বাজে মেয়ে,আপুরে চাই না শাকিবর লগে অপু একটা বাজে ফুরি, apure chai na shakibor loge opu ekta baje furi,0,Jaina,Done,,,
এই ভাই দেখতে হবেনা নায়ক কার প্রিয় শাকিব খান আমার প্রাণ প্রিয় নয়ক।,ও ভাই দেখা লাগবোনানি নায়ক কার প্রিয় শাকিব খান আমার প্রাণ প্রিয় নয়ক।, o bhai deka lagbonani nayok kar prio shakib khan amar pran prio nayok.,0,Jaina,Done,,,
আরে ভাই আমরাতো ভারতের গোলাম হয়েগেছি।,আরে ভাই আমরাতো ভারতর গোলাম অইগেছি।,are vai amrato bharotor gulam oigesi,0,Jaina,Done,,,
আমিও নিচতালা ভাড়া নিতে চাই ভাড়া কত�,আমিও নিচতালা ভাড়া নিতাম চাই ভাড়া কত�, amio nichtala bhara nitam chai bhara koto,0,Jaina,Done,,,
মামুনুর হক আপনি আপনার বতব্য চালিয়ে যান নাচতিক দের বলে যায় ইসলামের বিরিদিতা করলে পিঠের থাকবেনা সে এমপি হোক তার গডপাদার হোকনা কেন আমাদের ডাকবেন,মামুনুর হক আফনে আফনার বতব্য চালাইয়া যওক্কা নাচতিক দের কইয়া যায় ইসলামর বিরুদিতা করলে পিঠর থাখতোনা হে এমপি ওউক তার গডপাদার অউকনা কেনে আমরারে ডাকইনযেনো ," mamunur hok afne afnar boktobbo chalaia jaokka nastik der koia jay islamor birudita korle fitor chamra  taktonay hey mp ouk tar godfather oukna kne amrare dakoin jeno
",0,Jaina,Done,,,
ছার আই লাবিও...,ছার আই লাবিও..., sir i labiu...,0,Jaina,Done,,,
তারাতাড়ি ফাঁসি দেন আমাদের বোনের আত্মার শান্তি পাবে,জলদি ফাঁসি দেওক্কা আমরার বইনর আত্মার শান্তি ফাইবো, joldi fashi deokka amrar boinor attar shanti faibo,0,Jaina,Done,,,
এক সময় সবই বলবে যখন দোতালা ও নিচ তলায় ফাটল ধরবে,এক সময় সবই কইবা যেসময় দোতালা আর নিচ তালাত ফাটল ধরবো,ek shomoy sobta koiba jesomoy dutala er nich talat fatol dhorbo ,0,Jaina,Done,,,
আবরামখানজয়আমার বন্ধুহবে, আবরামখানজয়আমার বন্ধুঅইবো,abramkhanjoyamar bonduoibo,0,Jaina,Done,,,
অনেক আগে দেখেছি আমার অনেক ভালো লেগেছিলো।আবার দেখলাম মজা পাইলাম ১৭-১০-২০১৮,বউত আগে দেখছি আমার অনেক বালা লাগছিল।আবার দেখলাম মজা পাইলাম ১৭-১০-২০১৮, bout age deksi amar onek bala lagsil. abar deklam moja pailam 17-10-2018,0,Jaina,Done,,,
"বন্ধুরা, বাংলা নাটকের সাথে থাকুন, <br />বাংলা নাটক যেন বাংলা সিনেমার মত হারিয়ে না যায,<br />আপনাদের ভালবাসা আমাদের ভালকাজের অনুপ্রেরণা….. ধন্যবাদ �� �","বন্ধুরা, বাংলা নাটকর লগে তাখক্কা, <br />বাংলা নাটক যেন বাংলা সিনেমার লাখান আরি না যায,<br />আফনারার ভালবাসা আমরার বালাকামোর অনুপ্রেরণা….. ধন্যবাদ �� �","bodura, bangla natokor loge takhokka, <br />bangla natok jeno bangla cinemar lakhan ari na jay<br />afnarar bhalobasha amrar balakamor onuprerona…..dhonnobad�� �",0,Jaina,Done,,,
ভাই আপনি অসাধারণ ভিডিও বানিয়েছেন আপনাকে ধন্যবাদ যেমন কুকুর তেমন মুগুর।,ভাই আফনে অসাধারণ ভিডিও বানাইছইন  আফনারে ধন্যবাদ যেমন কুকুর তেমন মুগুর।,bhai afne oshadharon video banaisoin  afnare dhonnobad jemon kukur temon mugur.,0,Jaina,Done,,,
আমারা বাবরিমাসজিত চাই,আমরা বাবরি মসজিদ চাই,amra babri mosjid chai,0,Jaina,Done,,,
মিজানুর রহমান আজহারী ভাই নিয়ে করা ঠিক না,মিজানুর রহমান আজহারী ভাইরে লইয়া করা ঠিক নায়,mijanur rohman ajhari bhaire loia kora tik nay,0,Jaina,Done,,,
গালি দেইনি,গাইল দিছিনা,gail disina,0,Jaina,Done,,,
"বাংলাদেশে রুবেল ই ছিলো মার্শাল আর্ট ছবি শুরু করেছিলো তার মত আর বাংলাদেশে কেউ হবে না,,আর মার্শাল আর্ট ছবি ও হবে না","বাংলাদেশো রুবেলউ আছলো মার্শাল আর্ট ছবি শুরু  করছিল তার লাখান আর বাংলাদেশো কেউ অইতো নায়,,আর মার্শাল আর্ট ছবি ও অইতো নায়","Bangladesho rubelu achlo martial art sobi shuru  korchil tar lakhan ar bangladesho keu oito nay,,ar martial art sobi o oito nay",0,Jaina,Done,,,
"চিন্তা করিয়েন না স্যার, সবশেষে দয়ার সাগর রাষ্ট্রপতি মহোদয় আছেন আপনাকে গ্লানিমুক্ত করার জন্য।","ছিন্তা করইন না যেনো স্যার, সবশেষে দয়ার সাগর রাষ্ট্রপতি মহোদয় আছইন  আফনারে গ্লানিমুক্ত করার  লাগি।","chinta koroin na jeno sir, shobsheshe doyar shagor rashtropoti mohudoy achoin  afnare glanimukto korar  lagi।",0,Jaina,Done,,,
অপু বিশ্বাস সাথেও সাকিব খান ছবি ভালো হয় আমি ছবিটি হিটা,অপু বিশ্বাস লগেও সাকিব খান ছবি বালা  অয় আমি ছবি ইকটা হিটা,opu bishshash logeo sakib khan chobi bala oy ami chobi ikta hit,0,Jaina,Done,,,
তারাতাড়ি আপলোড দেন ভাই,জলদি জলদি আপলোড দেওক্কা ভাই,joldi joldi upload deokka bhai,0,Jaina,Done,,,
রিফাত হত্যার বিচার চাই মিন্নি সহ,রিফাত হত্যার বিচার চাই মিন্নি সহ,rifat hittar bichar chai minni shoho,0,Jaina,Done,,,
অনেক ধন্যবাদ প্রতিবেশী ভাইটাকে যিনি ভিডিও টা করেছে এবং পুলিশকে খবর দিয়েছে,অনেক ধন্যবাদ প্রতিবেশী ভাইটারে যেইন ভিডিও ইকটা করছইন আর পুলিশরে খবর দিছইন,onek dhonnobad protibeshi bhaitare jein video ikta korsoin ar police re khobor disoin,0,Jaina,Done,,,
যাই বলি কম হয়ে যাবে।। এসবই আসলে নিয়ম হয়ে গেছে। কই থাকি ভাবলেই মাথা খারাপ হয়ে যায়।,যেতাউ কই কম অই যাইবো।। ইতাউ আসলে নিয়ম অই গেছে। কই তাকি চিন্তা করলেউ মাথা খারাপ অই যায়।,jetau koi kom oi jaibo.. itau ashole niom oigese. koi taki chinta korleu matha kharap oi jay.,0,Jaina,Done,,,
ভাই অসাধারণ ভিডিও হইছে �♥,ভাই অসাধারণ ভিডিও অইছে �♥,bhai oshadharon video oise �♥,0,Jaina,Done,,,
তোদের এইটা রাজনৈতি না নোংরামি তোদের রাজনৈতিতে দেশের মানসম্মান সব শেষ।জানতাম ছাত্ররা দেশের উজ্জ্বল ভবিষ্যৎ। এখন দেখতেছি পুরোটাই উল্টো,তোমরার ইতটা রাজনীতি নিনা নোংরামি তোমরার  রাজনীতিতে দেশর মানসম্মান সব শেষ।জানতাম ছাত্রইন দেশর উজ্জ্বল ভবিষ্যৎ। এখন দেখিয়ার ফুরাউ উল্টা,tumrar ita rajniti nina nungrami tumrar rajnitite deshor manshomman shob shesh.jantam chatroin deshor ujjol bhobisshot. ekhon dekhiar furau ulta,0,Jaina,Done,,,
আপু আপনার সাথে কথা আছে নাম্বার টা দাও,আপু আফনার লগে মাত আছে নাম্বার টা দেও,apu afnar loge mat ase number ta deo,0,Jaina,Done,,,
প্রকাশ্যে দুজনকে শাস্তি প্রদান করা হউক তদন্তের নাম করে ফাইলে ধুলো জমা পড়ে যাবে,প্রকাশ্যে  দুইওজনরে শাস্তি দেওয়া অউক তদন্তর নাম করিয়া ফাইলো ধুইল জমা ফরি যাইবো,prokasshe duiojonre shasti deoa ouk todontor nam koria file o dhuil joma fori jaibo,0,Jaina,Done,,,
����এই বয়সে না করলে কি বুড়ো বয়সে করবে������,����ই বয়সো না করলে কিতা বুড়া বয়সো করতামনি������,����e boyosho na korle kita bura boyosho kortam ni������,0,Jaina,Done,,,
এধরনে আলেমদেরকে বয়কট করা উচিত,ইলাখান আলেমহকলরে বয়কট করা উচিত,ilakhan alemhoklore boycott kora uchit,0,Jaina,Done,,,
কিছু বলার নেই ভাইয়া আমার মান্তে অনেক কষ্ট হচ্ছে,কিচ্ছু কওয়ার নাই ভাইয়া আমার মান্তে বউত কষ্ট অর,kicchu koar nai bhaiya amar mante bout koshto or,0,Jaina,Done,,,
গুড ছোট ভাইয়েরা,গুড ছোট ভাইইয়াইন,good chuto bhaiain,0,Jaina,Done,,,
অপু বিশ্বাস তো ও বলতে পারেন না,অপু বিশ্বাস তো ও কইতা ফারইন না,opu bisshash to o koita faroin na,0,Jaina,Done,,,
আমি চাই মুসলিমরা জয় হোক,আমি চাই মুসলিমরার জয়  অউক,ami chai muslimrar joy ouk,0,Jaina,Done,,,
রাজশাহী ক্যাপ নিবে�� সাহেব বাজার থেকে বলছি��,রাজশাহিয়ে ক্যাপ নিবো�� সাহেব বাজার তাকি কইয়ার��,rajshahiye cap nibo�� shaheb bazar taki koiar��,0,Jaina,Done,,,
আপনার জন্য কত সাইজ,আফনার লাগি কত সাইজ,afnar lagi koto size,0,Jaina,Done,,,
এ কাতার বিশ্বকাপের মূল্যবান জিনিস হয়তো কাতার বিশ্বকাপে কাজে লাগতে পারে চিন্তার বিষয় না এটা��,এ কাতার বিশ্বকাপর মূল্যবান জিনিস হয়তো কাতার বিশ্বকাপো কামো লাগত ফারে চিন্তার বিষয় নায় ইকটা ��,e qatar bisshocup or mulloban jinish hoyto qatar bisshocup o kamo lagto fare chintar bishoy nay ikta��,0,Jaina,Done,,,
